"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_20457","Module_20457",2.73454411089098e-06,3.93057766685404e-05,-40.3865633972533,-57.2354983819841,7,2,17.8531711908584,0,0,FALSE
"Module_20458","Module_20458",9.64528355825076e-07,1.54712653919814e-05,-39.5761140934859,-57.5594211104336,7,2,17.198031854115,0,0,FALSE
"Module_4709","Module_4709",9.53234052918924e-08,1.89334761739363e-06,-35.7124361644621,-56.195437213559,7,2,11.4733722105384,0,0,FALSE
"Module_28295","Module_28295",5.58939691739033e-14,3.4461670641815e-12,-35.5851449977949,-71.2174549672795,7,2,9.91587205520253,0,0,FALSE
"Module_28296","Module_28296",1.43708805747391e-06,2.21935566865965e-05,-35.6129303817671,-53.1629137427968,7,2,9.18313908340333,0,0,FALSE
"Module_4711","Module_4711",0.00113092784101383,0.00731090009747237,-39.4006714239381,-49.5161668151156,7,2,12.7855700933379,0,0,FALSE
"Module_29916","Module_29916",4.75592284508141e-17,4.56988567221534e-15,-60.3988205766614,-103.374335510631,7,2,43.0407964594216,0,0,FALSE
"Module_20459","Module_20459",5.45266364196553e-12,2.43651155259905e-10,-37.3532101002094,-68.194978579637,7,2,14.6737659597129,0,0,FALSE
"Module_1788","Module_1788",0.000986227502200772,0.0065479065742258,-34.8595688853812,-45.1330608284836,7,2,7.1688528679484,0,0,FALSE
"Module_7001","Module_7001",7.34598920723767e-05,0.000712495474518419,-47.3738624701169,-60.5914887541152,7,2,28.2349918622505,0,0,FALSE
"Module_1789","Module_1789",0.000186500243899543,0.00159386251743568,-52.4557269414547,-64.6273271336132,7,2,55.8142710469004,0,0,FALSE
"Module_37713","Module_37713",0.000905453569173684,0.00609708415261778,-37.0336329935272,-47.4055687980892,7,2,10.8119325889292,0,0,FALSE
"Module_34421","Module_34421",2.76580307529129e-05,0.000302592384821474,-45.0849867814401,-59.3897086399923,7,2,13.5215816657584,0,0,FALSE
"Module_32350","Module_32350",5.35673881108576e-05,0.000542560154146224,-40.8458120219955,-54.4158820027398,7,2,13.2198940169972,0,0,FALSE
"Module_7002","Module_7002",1.56489267455398e-41,2.03239174097477e-38,-47.6176465970348,-148.222813080448,7,2,59.4167632851841,0,0,FALSE
"Module_7003","Module_7003",3.78613388255685e-08,8.20417310256304e-07,-29.3448360279901,-50.8187535390692,7,2,6.31431683301815,0,0,FALSE
"Module_12614","Module_12614",6.86315191122908e-07,1.13617335155425e-05,-39.849179099748,-58.2016393110384,7,2,19.7668587145286,0,0,FALSE
"Module_14241","Module_14241",3.94256071227827e-05,0.000413794152338466,-41.062282545926,-54.9735184201516,7,2,13.1455486624331,0,0,FALSE
"Module_14242","Module_14242",1.72084478605896e-05,0.000199720184293801,-40.7264157129431,-55.5561444578985,7,2,13.6031956643058,0,0,FALSE
"Module_14246","Module_14246",3.45331031112673e-05,0.000368398851182494,-30.8633457686552,-44.921782052806,7,2,6.99905848867522,0,0,FALSE
"Module_34424","Module_34424",7.29166818911382e-09,1.8166451297148e-07,-47.6066381900227,-70.8407614409774,7,2,26.3941518874677,0,0,FALSE
"Module_8778","Module_8778",8.15974976634283e-06,0.00010389616867259,-46.5391960454406,-62.1909065253538,7,2,32.0886544328331,0,0,FALSE
"Module_36440","Module_36440",6.39384498332109e-06,8.3660251177605e-05,-41.6910851127396,-57.6105606139688,7,2,17.9667793426086,0,0,FALSE
"Module_7005","Module_7005",1.88181696933584e-07,3.52718030737571e-06,-49.7807327715568,-69.5316510616989,7,2,30.1411410142275,0,0,FALSE
