Module,6hrs.ATACSeq_REPLICANT.1,6hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_12928,10,12,12,26
Module_47,14,16,12,8
Module_12929,17,17,29,30
Module_12930,21,23,25,6
Module_12931,16,10,20,26
Module_33354,36,27,48,40
Module_12932,12,8,10,15
Module_33355,32,25,46,40
Module_12933,10,0,11,25
Module_17381,16,22,20,38
Module_33356,20,26,33,42
Module_48,0,2,5,13
Module_49,4,4,7,21
Module_12934,2,10,24,21
Module_50,3,11,29,17
Module_51,6,3,14,10
Module_33357,35,31,36,30
Module_27488,1,5,4,4
Module_52,49,64,41,38
Module_53,36,28,31,20
Module_17382,27,25,29,12
Module_27489,0,3,4,7
Module_54,8,19,14,20
Module_55,56,53,66,51
Module_17383,61,70,82,99
Module_56,52,55,70,63
Module_17384,64,72,81,102
Module_57,53,51,68,60
Module_17385,64,70,79,100
Module_58,51,51,68,59
Module_17386,64,69,76,100
Module_27490,50,57,71,56
Module_17387,41,20,35,30
Module_59,25,34,30,27
Module_17388,179,144,156,187
Module_17389,73,81,76,91
Module_60,18,8,16,12
Module_17390,71,81,76,91
Module_61,18,8,15,12
Module_17391,68,81,75,94
Module_62,19,8,14,11
Module_17392,66,91,77,97
Module_63,21,13,21,10
Module_64,4,2,0,2
Module_17393,34,60,54,69
Module_17394,124,139,138,159
Module_17395,33,37,19,18
Module_17396,144,128,157,186
Module_65,18,24,7,8
Module_66,6,1,2,11
Module_17397,9,20,18,39
Module_22277,10,16,16,11
Module_22278,14,15,30,34
Module_3796,16,16,8,21
Module_67,18,20,39,28
Module_5545,33,36,95,54
Module_17398,6,3,9,7
Module_68,46,63,57,82
Module_69,15,14,39,11
Module_70,9,13,12,16
Module_17399,34,32,65,33
Module_71,10,22,18,21
Module_27491,90,100,116,64
Module_72,37,24,22,40
Module_14432,2,1,9,0
Module_29208,16,28,26,16
Module_22279,10,1,8,7
Module_5546,22,12,66,48
Module_12935,9,12,19,11
Module_12936,16,14,32,11
Module_27492,24,29,20,28
Module_73,41,47,35,32
Module_27493,24,27,20,27
Module_74,51,57,43,34
Module_27494,10,20,13,19
Module_12937,26,47,83,48
Module_12938,21,33,14,8
Module_75,22,46,52,45
Module_17400,14,12,23,7
Module_5547,11,12,8,6
Module_17401,11,5,20,39
Module_5548,48,45,43,50
Module_17402,8,4,10,11
Module_17403,0,0,12,10
Module_76,10,12,38,36
Module_27495,2,8,12,14
Module_77,8,20,10,18
Module_14433,5,2,8,11
Module_78,22,23,47,43
Module_14434,21,10,10,1
Module_79,9,13,28,29
Module_80,29,26,46,30
Module_5549,4,10,15,21
Module_14435,8,10,16,12
Module_14436,24,22,27,24
Module_12939,10,24,34,17
Module_81,18,14,17,27
Module_14437,2,11,10,12
Module_82,14,13,14,25
Module_17404,0,3,10,6
Module_12940,8,19,21,6
Module_22280,0,0,8,4
Module_17405,10,10,30,51
Module_12941,40,58,68,70
Module_12942,11,18,31,30
Module_29209,43,55,52,97
Module_14438,68,84,80,88
Module_14439,34,49,48,52
Module_14440,63,54,62,47
Module_12943,118,153,128,161
Module_14441,34,32,26,29
Module_17406,11,18,38,25
Module_14442,21,39,48,63
Module_17407,9,15,9,6
Module_5550,56,42,88,71
Module_22281,22,42,42,22
Module_22282,36,65,123,125
Module_17408,19,30,23,26
Module_5551,73,76,87,91
Module_17409,28,62,38,38
Module_14443,21,25,60,37
Module_5552,20,32,36,35
Module_12944,137,121,111,144
Module_5553,4,4,18,15
Module_83,36,48,33,45
Module_17410,54,86,88,94
Module_17411,28,36,74,55
Module_22283,59,120,75,100
Module_22284,12,24,11,46
Module_17412,26,18,52,78
Module_17413,125,162,115,89
Module_22285,4,12,8,11
Module_5554,25,21,32,43
Module_12945,42,96,68,95
Module_5555,24,18,26,34
Module_12946,35,46,26,35
Module_14444,31,36,32,18
Module_17414,39,41,29,32
Module_33358,32,30,16,33
Module_17415,42,47,30,33
Module_17416,14,31,47,28
Module_17417,32,30,53,49
Module_33359,2,5,20,12
Module_17418,64,59,113,152
Module_33360,18,29,35,36
Module_14445,20,18,13,13
Module_22286,0,0,25,8
Module_14446,7,1,14,11
Module_84,25,30,27,11
Module_14447,8,10,20,15
Module_85,25,30,26,14
Module_5556,6,16,13,15
Module_86,25,29,24,14
Module_5557,6,11,9,13
Module_12947,4,10,21,8
Module_14448,43,35,30,33
Module_12948,15,24,31,47
Module_5558,12,26,36,27
Module_14449,9,14,16,20
Module_22287,18,18,15,20
Module_17419,2,8,1,6
