Module,6hrs.H3K27ac_REPLICANT.1,6hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_35,20,15,20,48
Module_29196,20,24,25,43
Module_33342,5,21,23,28
Module_36,19,14,22,45
Module_33343,5,18,21,29
Module_29197,24,23,24,42
Module_33344,5,17,20,24
Module_29198,18,20,26,36
Module_29199,18,26,37,49
Module_29200,28,27,45,70
Module_33345,7,18,15,29
Module_29201,24,22,40,67
Module_14428,22,43,22,50
Module_29202,38,51,82,125
Module_37,18,21,31,41
Module_17372,18,17,39,58
Module_33346,8,14,10,17
Module_7616,4,4,7,17
Module_17373,17,19,18,50
Module_33347,15,12,14,17
Module_33348,6,5,13,3
Module_29203,5,1,10,6
Module_33349,13,15,12,23
Module_29204,16,16,31,36
Module_33350,8,13,16,14
Module_27485,4,0,7,7
Module_33351,15,19,22,22
Module_29205,26,27,53,64
Module_14429,16,23,23,49
Module_17374,36,54,32,65
Module_29206,7,20,28,28
Module_38,21,60,37,83
Module_29207,12,19,25,41
Module_17375,25,14,22,45
Module_12925,19,29,29,51
Module_3795,6,21,16,34
Module_22273,7,10,7,16
Module_27486,18,29,21,47
Module_14430,10,11,10,24
Module_33352,14,33,22,35
Module_7617,19,23,25,38
Module_22274,31,60,45,101
Module_14431,44,89,31,84
Module_17376,25,26,29,43
Module_39,9,15,22,26
Module_17377,29,54,37,66
Module_40,10,16,23,24
Module_41,34,49,50,94
Module_42,8,14,11,15
Module_33353,5,12,9,15
Module_43,8,5,3,17
Module_17378,19,23,29,45
Module_17379,17,22,17,26
Module_44,8,7,12,22
Module_27487,7,14,7,8
Module_22275,6,9,14,12
Module_45,4,10,14,22
Module_12926,5,1,8,13
Module_22276,2,11,7,6
Module_46,7,14,23,28
Module_17380,8,18,14,30
Module_12927,13,14,32,56
Module_12928,13,11,22,35
Module_47,5,6,10,9
Module_12929,21,23,33,61
Module_12930,24,40,25,44
Module_12931,13,18,17,27
Module_33354,19,23,22,22
Module_12932,14,13,11,18
Module_33355,17,19,21,19
Module_12933,7,10,5,10
Module_17381,21,19,24,43
Module_33356,13,21,21,35
Module_48,13,8,17,22
Module_49,15,16,20,27
Module_12934,11,12,17,30
Module_50,19,10,32,33
Module_51,7,13,8,16
Module_33357,8,16,15,16
Module_27488,8,5,7,13
Module_52,12,18,13,21
Module_53,15,7,5,10
Module_17382,34,65,29,59
Module_27489,8,4,12,12
Module_54,11,12,15,24
Module_55,37,36,31,62
Module_17383,22,32,28,57
Module_56,49,37,36,63
Module_17384,21,28,23,54
Module_57,47,38,37,62
Module_17385,22,27,22,52
Module_58,48,39,38,62
Module_17386,22,27,22,50
Module_27490,43,82,52,109
Module_17387,6,12,14,33
Module_59,22,38,26,54
Module_17388,50,78,45,100
Module_17389,50,72,53,81
Module_60,17,38,22,29
Module_17390,50,72,53,81
Module_61,17,39,22,29
Module_17391,51,69,52,79
Module_62,17,38,19,27
Module_17392,61,79,51,89
Module_63,9,20,10,19
Module_64,9,8,13,17
Module_17393,26,35,42,62
Module_17394,34,55,41,74
Module_17395,32,43,31,67
Module_17396,32,69,45,103
Module_65,9,6,7,15
Module_66,6,12,11,18
Module_17397,8,8,10,20
Module_22277,8,7,11,10
Module_22278,27,25,19,43
Module_3796,28,28,41,68
Module_67,18,16,23,58
Module_5545,31,52,52,71
Module_17398,13,14,15,26
Module_68,56,83,75,150
Module_69,16,36,29,63
Module_70,14,27,24,46
Module_17399,10,20,18,34
Module_71,17,25,26,34
Module_27491,21,19,18,45
Module_72,9,14,20,25
Module_14432,6,10,9,8
Module_29208,22,26,23,44
Module_22279,10,11,7,9
Module_5546,16,26,17,32
Module_12935,12,9,17,23
Module_12936,3,14,20,24
Module_27492,6,7,10,6
Module_73,7,14,11,14
Module_27493,7,6,9,5
Module_74,16,38,21,31
Module_27494,3,6,16,9
Module_12937,27,21,26,39
Module_12938,25,28,27,52
Module_75,44,70,57,83
Module_17400,22,35,32,41
Module_5547,37,37,37,62
Module_17401,6,10,9,19
Module_5548,18,21,31,57
Module_17402,6,9,10,28
Module_17403,9,7,10,9
Module_76,24,42,40,60
Module_27495,11,15,12,7
Module_77,39,46,62,105
Module_14433,5,5,7,3
Module_78,34,53,51,73
Module_14434,13,16,10,21
Module_79,32,37,39,68
Module_80,47,63,63,83
Module_5549,11,13,20,21
Module_14435,12,15,13,14
Module_14436,12,25,18,27
Module_12939,13,11,11,15
Module_81,10,15,16,25
Module_14437,6,3,6,13
Module_82,7,9,12,21
Module_17404,5,6,6,7
Module_12940,20,16,23,31
Module_22280,5,6,3,10
Module_17405,13,16,14,39
Module_12941,35,71,40,66
Module_12942,12,24,21,40
Module_29209,17,19,23,44
Module_14438,35,80,71,129
Module_14439,23,46,42,73
Module_14440,28,36,25,49
Module_12943,7,18,15,27
Module_14441,20,32,20,53
Module_17406,17,17,38,26
Module_14442,43,45,34,60
Module_17407,7,9,14,19
Module_5550,37,61,26,64
Module_22281,12,9,6,31
Module_22282,22,24,28,53
Module_17408,65,92,63,110
Module_5551,28,60,42,65
Module_17409,73,96,73,109
Module_14443,21,43,12,48
Module_5552,5,9,9,20
Module_12944,99,149,57,114
Module_5553,8,15,8,11
Module_83,6,9,19,25
Module_17410,11,26,23,52
Module_17411,17,21,23,44
Module_22283,24,40,21,35
Module_22284,9,18,17,15
Module_17412,13,15,28,46
Module_17413,9,14,13,12
Module_22285,8,6,8,14
Module_5554,10,12,8,16
Module_12945,15,23,21,41
Module_5555,24,12,19,17
Module_12946,17,22,21,35
Module_14444,27,47,26,54
Module_17414,7,4,9,17
Module_33358,10,12,18,22
Module_17415,7,5,5,19
Module_17416,9,11,14,20
Module_17417,11,17,28,43
Module_33359,16,15,14,26
Module_17418,18,31,27,43
Module_33360,4,12,13,21
Module_14445,22,25,27,40
Module_22286,7,6,4,12
Module_14446,16,14,17,22
Module_84,21,27,23,55
Module_14447,14,10,17,23
Module_85,25,38,25,61
Module_5556,8,15,17,19
Module_86,21,37,25,62
Module_5557,10,12,16,16
Module_12947,10,15,17,23
Module_14448,48,52,53,70
Module_12948,26,28,31,47
Module_5558,11,18,29,26
Module_14449,21,26,22,25
Module_22287,14,10,20,18
Module_17419,5,2,12,18
