"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"PTPRG-AS1","PTPRG-AS1",3.42007419020332e-16,1.06222954344616e-15,-121.025883372346,-161.957159363275,7,2,745.974647737111,0,0,FALSE
"C3orf14","C3orf14",4.06725336129351e-11,1.02337877457689e-10,-142.267084344421,-170.996494458949,7,2,1256.62690743133,0,0,FALSE
"MARCKSL1","MARCKSL1",8.2969438966758e-15,2.44014274331147e-14,-197.387863089356,-235.006938187988,7,2,33303.0265461017,0,0,FALSE
"FEZF2","FEZF2",0,0,-437.027168178668,-1193.30743303024,7,2,111.400125632597,0,0,FALSE
"CADPS","CADPS",1.19588648520898e-79,1.4816798311122e-78,-263.949427833934,-453.263100334782,7,2,1938.01057106693,0,0,FALSE
"KRT8P35","KRT8P35",0.000733562143271386,0.00124374709815881,-68.1302275692315,-78.7441571626076,7,2,22.0288249360319,0,0,FALSE
"LINC00698","LINC00698",4.81722294092668e-109,8.65389706785914e-108,-321.324566212094,-578.781560446109,7,2,973.414355504539,0,0,FALSE
"SYNPR","SYNPR",4.20140370743916e-12,1.10233718118418e-11,-68.796121658455,-99.9113989171143,7,2,35.6846915928605,0,0,FALSE
"SYNPR-AS1","SYNPR-AS1",9.33465823102413e-10,2.20999967002223e-09,-93.1519587563511,-118.571053981303,7,2,22.9760015237529,0,0,FALSE
"SNTN","SNTN",1.06311789976249e-06,2.14942730038453e-06,-65.0783972869966,-82.9560194349373,7,2,27.076840921994,0,0,FALSE
"TSSK3","TSSK3",1.6497365442095e-14,4.79388183447299e-14,-102.004838396748,-138.908564123737,7,2,150.394594964611,0,0,FALSE
"THOC7","THOC7",0.000671222031126075,0.00114137330835504,-151.670128244946,-162.385922961532,7,2,5006.77100746989,0,0,FALSE
"ATXN7","ATXN7",4.00502850488306e-20,1.44181960511146e-19,-178.119257089412,-228.40498582862,7,2,3366.67602529399,0,0,FALSE
"PSMD6-AS2","PSMD6-AS2",1.90341970587696e-13,5.28047122539152e-13,-109.834179372777,-144.187851268729,7,2,199.511580474764,0,0,FALSE
"PSMD6","PSMD6",5.74782746375151e-15,1.70179584625636e-14,-181.505203408036,-219.506096277339,7,2,12213.0828617598,0,0,FALSE
"PRICKLE2-AS1","PRICKLE2-AS1",0.000245992429332041,0.000431024432069648,-74.3795046352559,-86.238285139332,7,2,25.7756012380183,0,0,FALSE
"LINC00994","LINC00994",0.00600710503355515,0.00950073191814146,-42.6368251518354,-50.7929071919866,7,2,3.6778212170873,0,0,FALSE
"PRICKLE2","PRICKLE2",3.14080276707283e-45,2.18962267450121e-44,-186.996575977452,-296.237780733588,7,2,2271.19932115361,0,0,FALSE
"MRPL20","MRPL20",2.94056982873656e-56,2.5098121300967e-55,-195.713420731095,-330.66334990179,7,2,8026.97852926017,0,0,FALSE
"FAM229A","FAM229A",5.89590502021481e-05,0.000107703649978627,-84.5995586111967,-98.0627025838339,7,2,39.5855536819262,0,0,FALSE
"PRICKLE2-AS3","PRICKLE2-AS3",6.11101249997576e-33,3.18534333367255e-32,-119.099314006472,-199.59064799909,7,2,390.150050003046,0,0,FALSE
"ADAMTS9","ADAMTS9",3.23998735137039e-239,1.68342979167246e-237,-1111.91313216086,-1670.26087532875,7,2,877.753827440755,0,0,FALSE
"LOC101929335","LOC101929335",1.69255122377928e-19,5.95024586165849e-19,-74.4791513468269,-123.27953242117,7,2,21.6235460802258,0,0,FALSE
"ADAMTS9-AS2","ADAMTS9-AS2",8.94271287730972e-24,3.62155816208385e-23,-128.313842672077,-187.240140033777,7,2,31.4811969144283,0,0,FALSE
"MAGI1","MAGI1",2.54834926430978e-10,6.18315277864724e-10,-198.524224043297,-225.317624014971,7,2,19589.609161979,0,0,FALSE
"RPL17P17","RPL17P17",0.00120228544076796,0.00200823378029018,-52.4656861097635,-62.5104587230583,7,2,7.86558134206009,0,0,FALSE
"MAGI1-IT1","MAGI1-IT1",5.73028679635828e-12,1.49546627258587e-11,-80.0197745342352,-110.809425708726,7,2,34.1979145973908,0,0,FALSE
"MAGI1-AS1","MAGI1-AS1",0.000294011143681517,0.000512340688128432,-56.2645612561951,-67.9213448727583,7,2,8.09354592468116,0,0,FALSE
"BSDC1","BSDC1",0.00286414905906851,0.00464949676046873,-197.80200278818,-206.835276131592,7,2,7821.1509148294,0,0,FALSE
"LOC101929433","LOC101929433",0.0010163965042085,0.00170706602684952,-63.2142030202347,-73.4529506971026,7,2,12.5370268156825,0,0,FALSE
"SLC25A26_variant2","SLC25A26_variant2",0.000481544664135834,0.000828100126440311,-148.618266134052,-159.713853608554,7,2,2184.01799698807,0,0,FALSE
"LRIG1","LRIG1",2.2642119332204e-102,3.79372274131278e-101,-405.426232705957,-647.427609560842,7,2,44472.8601232422,0,0,FALSE
"KBTBD8","KBTBD8",2.56878177511006e-32,1.32155879188568e-31,-252.969629168733,-331.997865099129,7,2,3878.36863566762,0,0,FALSE
"SUCLG2","SUCLG2",5.61041885062583e-20,2.00875124114692e-19,-169.727766180108,-219.666230883757,7,2,8504.90614440845,0,0,FALSE
"GAPDHP20","GAPDHP20",0.00436945656267827,0.0069956185036022,-44.7737620375838,-53.3086206886734,7,2,5.19122674208479,0,0,FALSE
"LOC101927111","LOC101927111",2.91644182157256e-07,6.087113271062e-07,-84.2517159789464,-103.529986990983,7,2,159.654898371688,0,0,FALSE
"FAM19A4","FAM19A4",6.73409146212117e-28,3.0712910417533e-27,-134.3494139845,-202.995139758651,7,2,603.544692813315,0,0,FALSE
"EOGT","EOGT",1.20900727563948e-198,4.64099397363946e-197,-542.577178048142,-1007.22970528863,7,2,3089.76336565509,0,0,FALSE
"TMF1","TMF1",1.34884025463877e-08,3.02164889155233e-08,-159.445764756116,-182.023646488059,7,2,6709.39769907944,0,0,FALSE
"LOC101929254","LOC101929254",7.55196981919674e-10,1.79524335307609e-09,-66.1861117898011,-91.8298230292678,7,2,29.4197544723218,0,0,FALSE
"UBA3","UBA3",1.04490455483339e-10,2.58094351947362e-10,-191.534249298406,-219.269107319199,7,2,8423.7670671548,0,0,FALSE
"ARL6IP5","ARL6IP5",2.10678188347381e-05,3.95148035670935e-05,-179.531390289684,-194.137471015065,7,2,5117.01100666887,0,0,FALSE
"LMOD3","LMOD3",1.86893867142045e-07,3.93673588698125e-07,-80.7558645556227,-100.514184228349,7,2,69.6024965116672,0,0,FALSE
"FRMD4B","FRMD4B",2.63146317998294e-38,1.56423051085927e-37,-169.805670214721,-262.867654030863,7,2,754.772636568472,0,0,FALSE
"MITF","MITF",1.60525030104432e-88,2.26948419794461e-87,-171.584526979022,-381.481112863351,7,2,130.369096905252,0,0,FALSE
"LOC101927152","LOC101927152",4.41677377386703e-19,1.52990896725991e-18,-79.7588785100766,-127.569996405653,7,2,56.1502589139304,0,0,FALSE
"ZBTB8B","ZBTB8B",1.32894869717719e-98,2.11092864853214e-97,-238.294028417292,-471.563008219302,7,2,1161.91632745845,0,0,FALSE
"FOXP1","FOXP1",1.66381657785289e-24,6.891742187931e-24,-169.228371453941,-229.878938488898,7,2,2438.9126975685,0,0,FALSE
"LOC101927173","LOC101927173",4.56659689807112e-09,1.04857436251149e-08,-48.1766571127251,-71.9092604455588,7,2,7.59105567795846,0,0,FALSE
"LOC101927593","LOC101927593",7.73350472848571e-07,1.57429692259913e-06,-73.0870827802804,-91.3100935685991,7,2,32.9732510247858,0,0,FALSE
"GPR27","GPR27",5.11134538144541e-05,9.36988907742633e-05,-119.742095267083,-133.364415311001,7,2,358.811758473628,0,0,FALSE
"ZBTB8A","ZBTB8A",8.00886063169816e-27,3.54223940493122e-26,-155.818978454241,-221.933221872819,7,2,3551.46496912781,0,0,FALSE
"PROK2","PROK2",1.22401760993079e-29,5.8460005408997e-29,-193.904925677192,-266.643938601646,7,2,144.385097941683,0,0,FALSE
"SHQ1","SHQ1",1.61960727826651e-06,3.23973941468269e-06,-158.624993922804,-176.044869613451,7,2,4192.34536533189,0,0,FALSE
"GXYLT2","GXYLT2",9.30350508133638e-73,1.03695947029716e-71,-115.181740275649,-288.496685834545,7,2,324.601283691997,0,0,FALSE
"ZBTB8OS","ZBTB8OS",0.00168940973750769,0.00278899452948381,-146.556439313196,-156.206723289132,7,2,2531.39474612871,0,0,FALSE
"PPP4R2","PPP4R2",0.000870610282137719,0.00146844710556435,-187.823669841465,-198.240770876947,7,2,19760.9098937799,0,0,FALSE
"EBLN2","EBLN2",2.48639979368163e-11,6.32002609392161e-11,-101.950010129471,-131.197450335082,7,2,375.312911768536,0,0,FALSE
"PDZRN3","PDZRN3",1.41158266482375e-77,1.68924683150273e-76,-294.206907414762,-478.711193027774,7,2,2708.77220291076,0,0,FALSE
"LOC101927249","LOC101927249",1.50093992807701e-06,3.0060680726957e-06,-75.937956011631,-93.4406427519918,7,2,56.6456867570255,0,0,FALSE
"RBBP4","RBBP4",4.8828695673586e-27,2.17240887209728e-26,-212.328135377676,-278.948461488867,7,2,43379.5941072509,0,0,FALSE
"CNTN3","CNTN3",0.00323683746136442,0.0052327544167456,-71.5069812059665,-80.3963659125973,7,2,47.8302469809395,0,0,FALSE
"SYNC","SYNC",2.43288807886884e-05,4.54242134168959e-05,-67.6873679478212,-82.1341746939021,7,2,18.8358383932098,0,0,FALSE
