"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLCF1",106.870874326797,-1.3457267182038,0.245068008682626,-5.49123782185122,3.99126475569617e-08,1.67712458762918e-07
"RAD9A",756.930203156448,0.434617716819647,0.157423570335748,2.76081730259775,0.00576569199111087,0.0126851031115493
"PPP1CA",14483.094786109,-0.45006277544408,0.133026352398347,-3.38326028888147,0.000716307085131053,0.00184185219888711
"CARNS1",135.355763708147,0.675700472080503,0.195488731520082,3.45646762770615,0.00054730494243862,0.00143244704455328
"RPS6KB2",3089.46399413763,-0.44901332343525,0.120731950075941,-3.71909277662474,0.000199939609159442,0.00055884165443456
"CORO1B",6322.26440108028,-0.461590338729269,0.106797833073033,-4.32209461041791,1.54554883630481e-05,4.97261889004809e-05
"TMEM134",778.837074567941,1.39598685377618,0.389509078963647,3.58396486544148,0.000338417627944026,0.000915061157795421
"AIP",1982.92516531506,0.770724448518473,0.107136515720244,7.19385396600912,6.2987564795787e-13,3.83603635786982e-12
"CDK2AP2",1502.3807214624,-0.450928641566891,0.131824613657889,-3.42067106479175,0.000624668359646732,0.00162229337591005
"GSTP1",59224.9385145902,-1.2687771338211,0.169441709397818,-7.4879859175774,6.99385289924374e-14,4.5253732953586e-13
"NDUFV1",8392.05954641256,-0.553543976241565,0.154946431380838,-3.57248612509845,0.000353608223747412,0.000953479967170781
"NUDT8",281.009980191212,-0.775214059403885,0.131244851326803,-5.90662453853965,3.49188344901224e-09,1.61712454002666e-08
"TBX10",60.0205067923839,-1.53447394966158,0.320151485046274,-4.7929621486522,1.64336639630273e-06,5.88871086532974e-06
"FAM86C2P",1392.00481079593,0.587987886836056,0.106688054167321,5.51128138407982,3.56230693330956e-08,1.50265834142115e-07
"ALDH3B1",129.667947909138,0.621730223363653,0.201625713639873,3.08358597789832,0.00204522003139677,0.00487933989833186
"TCIRG1",975.256338417136,0.8006975769247,0.180542758923287,4.43494705464713,9.20949197254443e-06,3.0395266127466e-05
"CHKA",4278.04808738131,-1.07516168826017,0.0947560070724123,-11.3466335431223,7.70733196875127e-30,1.03231775965717e-28
"SUV420H1",8179.66737565195,0.972497061543699,0.216646006967607,4.48887600171236,7.15999570923143e-06,2.39293392235591e-05
"C11orf24",2764.54572326378,-0.792194743936836,0.128606799252645,-6.1598200759245,7.28276409029028e-10,3.56215361699363e-09
"PPP6R3",26193.7903867057,-0.312325506045149,0.0663948849683281,-4.70405975090002,2.55038554585659e-06,8.96001955877135e-06
