"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_17612","Module_17612",3.07489551448781e-05,0.000804930873269139,-38.6492793523191,-52.8365275490732,7,2,16.9851780615712,0,0,FALSE
"Module_27633","Module_27633",4.50463426005112e-05,0.00111264466223263,-37.9682823541932,-51.7312891966396,7,2,16.3161548031953,0,0,FALSE
"Module_17613","Module_17613",1.09449261115407e-05,0.00033637684746316,-43.855962780638,-59.1846821007854,7,2,24.6397439318413,0,0,FALSE
"Module_17614","Module_17614",1.46091739779717e-05,0.000430901064855031,-44.6164913183578,-59.626968569372,7,2,24.305024403195,0,0,FALSE
"Module_17615","Module_17615",1.62111867164194e-13,4.56418593279552e-11,-43.5984209847513,-78.1197211511739,7,2,31.3219066869508,0,0,FALSE
"Module_17616","Module_17616",6.37997079689739e-09,5.11460011445774e-07,-50.9124928808645,-74.2889626030255,7,2,69.8509938855003,0,0,FALSE
"Module_17622","Module_17622",1.9423231296602e-05,0.000547967367153334,-51.8307476450167,-66.5267016907025,7,2,62.2050247279355,0,0,FALSE
"Module_22374","Module_22374",7.47848483794406e-05,0.00170493362435145,-42.0543399857354,-55.2519861527777,7,2,19.2817691907935,0,0,FALSE
"Module_33472","Module_33472",1.9041609532451e-08,1.32635681900693e-06,-42.0595348327675,-64.2690193256953,7,2,24.334625995584,0,0,FALSE
"Module_33473","Module_33473",3.31758139458013e-06,0.000122765757837491,-52.3189206496059,-68.9567665794516,7,2,55.1184253856166,0,0,FALSE
"Module_25070","Module_25070",6.46624928467613e-08,3.82287316373488e-06,-43.559512397875,-64.4594073210415,7,2,27.1097280208232,0,0,FALSE
"Module_25071","Module_25071",0.000269183445636152,0.00491500893639779,-50.4539446150401,-62.2107215501284,7,2,40.3932327660411,0,0,FALSE
"Module_13128","Module_13128",5.67928805321379e-07,2.58658163247104e-05,-40.3006048696738,-58.8582019901637,7,2,24.4711767797666,0,0,FALSE
"Module_25076","Module_25076",0.000342212949320202,0.00597477690918502,-48.4331045936015,-59.917573473162,7,2,42.885580518264,0,0,FALSE
