,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7147,20.849146685224,-2.69536191829804,0.626745907071317,-4.30056564851462,1.70362691652614e-05,0.00112804714091335,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7148,25.2532056572804,-3.81412585597079,0.662470673954652,-5.75742596000843,8.54062085048943e-09,3.34029375209875e-06,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7149,25.4917790748391,-3.49789579428657,0.628552919324375,-5.56499808806302,2.62155284735826e-08,8.09452733384841e-06,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34751,64.1751620437363,-1.67993451886432,0.344713224718547,-4.87342636835578,1.09679157960925e-06,0.000146904965318165,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34752,53.7955744597028,-2.30142397638868,0.389758516640004,-5.90474326572409,3.53196342595054e-09,1.78626005471392e-06,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34753,25.3087413165167,-1.75960316329882,0.525878535993966,-3.34602582699631,0.000819787595280103,0.0190093514089733,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34754,21.3811955100008,-2.07897297955461,0.581494249630299,-3.57522534552384,0.000349926361896141,0.0102746646381376,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34755,29.5690257394256,-2.24920539071419,0.507676465996025,-4.43039128532659,9.40622581454509e-06,0.000734049564067494,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7151,31.6800551448192,-1.40180665776048,0.46562104865993,-3.01061702814965,0.0026071745760228,0.0424868065769315,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7152,18.6522133581009,-2.03642027231205,0.630789343145221,-3.22836822537001,0.00124498603476118,0.0257358529652217,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_8963,61.5602376407458,-1.23834074067009,0.352020022693461,-3.51781336525972,0.000435118270416128,0.0120181960697893,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_11530,121.248279472702,1.4167445584202,0.27533126408104,5.14560002166408,2.66667068722035e-07,4.98225804256271e-05,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5071,43.6897934205135,1.26236141414557,0.415511738688852,3.03808844998929,0.00238084062019365,0.0399805127522601,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5080,65.1470866452677,-1.23739762793456,0.343675212658004,-3.60048552342328,0.000317623513880027,0.00949729921778068,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_8969,21.1172000603627,-2.30990997773218,0.597413274733192,-3.86651933498431,0.000110399715026866,0.00453608133507571,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32502,37.6756614348765,-2.31044601638799,0.489391293595918,-4.72106072711562,2.3461787135827e-06,0.00025395003765875,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_26213,15.9272865623321,-2.94614974934654,0.734693047919894,-4.01004168705265,6.07080288203342e-05,0.00294338613121795,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_8979,34.1938036405401,1.75897099270256,0.488612091278267,3.59993341159627,0.000318298681228776,0.00950285082580183,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32507,27.27726221525,-1.6898124573331,0.517431840944611,-3.2657682106463,0.00109167567898622,0.0234079844237594,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_8980,20.7529195777375,1.93779220004252,0.632537061736587,3.06352357397438,0.00218746969524159,0.038057561429728,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32508,34.6483464925298,-2.1481795562987,0.46681826273596,-4.60174703472076,4.18961857650925e-06,0.000392632848896951,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34779,46.0563298257091,1.22436936886429,0.404368599842661,3.02785470815659,0.00246296473413705,0.0407709619336581,6hrs_72hrs.H3K27ac.DESeq2_results.csv
