Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_22266,4,4,4,9
Module_17335,6,7,8,12
Module_17336,11,8,14,19
Module_33310,57,52,44,60
Module_17337,12,10,21,18
Module_12913,12,18,34,25
Module_12914,25,12,12,21
Module_5524,116,77,93,98
Module_22267,28,25,20,22
Module_22268,40,35,17,20
Module_17338,10,10,32,20
Module_22269,35,28,43,52
Module_22270,18,15,20,21
Module_5525,90,56,93,72
Module_22271,4,0,17,7
Module_5526,141,90,95,93
Module_16515,13,12,18,19
Module_3784,45,48,34,25
Module_7611,19,8,36,31
Module_16516,20,16,16,12
Module_12915,2,2,22,18
Module_3785,49,44,61,57
Module_12916,37,26,32,48
Module_16517,40,28,23,20
Module_35483,62,52,49,68
Module_33311,8,0,10,18
Module_17339,36,43,49,51
Module_5527,106,81,98,115
Module_12917,5,4,6,10
Module_5528,82,73,87,90
Module_12918,26,14,20,18
Module_5529,43,33,41,43
Module_5530,86,111,97,144
Module_29169,4,4,12,10
Module_33312,10,16,2,4
Module_5531,71,80,65,79
Module_33313,24,6,29,21
Module_14415,13,23,24,32
Module_5532,10,11,23,24
Module_14416,67,67,40,39
Module_12919,115,65,90,67
Module_29170,9,6,6,17
Module_2,41,35,30,46
Module_7612,58,43,95,66
Module_29171,8,4,11,4
Module_19436,13,9,13,8
Module_33314,17,3,17,18
Module_17340,84,68,68,58
Module_5533,36,34,37,21
Module_7613,17,27,15,19
Module_5534,42,37,44,31
Module_12920,42,29,40,36
Module_29172,6,6,4,2
Module_33315,11,16,4,4
Module_14417,29,14,27,18
Module_33316,4,13,2,2
Module_14418,12,10,16,9
Module_14419,0,7,2,7
Module_3,20,13,21,33
Module_14420,10,14,4,8
Module_4,138,110,113,136
Module_19437,12,4,18,25
Module_14421,67,64,25,37
Module_7614,4,8,8,17
Module_19438,6,14,24,18
Module_14422,21,18,44,10
Module_29173,1,6,9,3
Module_19439,23,21,22,19
Module_29174,7,15,4,4
Module_19440,11,23,4,11
Module_17341,15,15,19,16
Module_5535,33,19,25,20
Module_19441,12,6,8,10
Module_19442,25,4,15,8
Module_17342,42,27,20,30
Module_29175,4,9,8,10
Module_17343,2,2,14,21
Module_5,19,22,17,24
Module_19443,3,1,1,3
Module_14423,20,11,13,15
Module_6,51,31,54,47
Module_17344,16,21,22,10
Module_29176,4,8,12,17
Module_33317,34,40,17,23
Module_5536,12,8,12,11
Module_17345,18,17,12,8
Module_7,24,22,20,20
Module_19444,4,7,6,3
Module_17346,33,36,32,28
Module_27459,6,2,12,13
Module_19445,34,25,9,8
Module_33318,18,4,14,6
Module_17347,42,48,41,44
Module_29177,45,33,26,36
Module_17348,36,28,36,25
Module_29178,32,26,21,28
Module_17349,43,25,43,26
Module_19446,18,14,13,21
Module_19447,0,0,6,8
Module_17350,22,20,34,21
Module_19448,8,5,6,6
Module_5537,17,16,35,45
Module_8,51,28,25,30
Module_5538,14,18,48,57
Module_9,59,29,30,32
Module_5539,11,17,47,56
Module_14424,59,28,28,52
Module_10,99,31,44,45
Module_5540,22,23,14,4
Module_33319,15,13,6,11
Module_27460,17,15,25,25
Module_27461,2,7,10,4
Module_5541,18,2,23,32
Module_11,8,14,30,22
Module_5542,19,2,24,36
Module_12,5,16,31,21
Module_33320,82,71,86,100
Module_13,13,10,7,6
Module_5543,58,58,54,61
Module_27462,10,6,12,12
Module_19449,62,29,38,36
Module_5544,14,8,26,32
Module_33321,45,22,43,35
Module_14,15,16,17,28
Module_15,23,18,10,17
Module_19450,10,12,10,17
Module_17351,20,13,3,9
Module_19451,4,6,11,12
Module_17352,22,28,58,69
Module_19452,6,1,9,10
Module_16,59,39,59,59
Module_27463,16,13,7,5
Module_27464,17,6,24,23
Module_17,3,11,6,9
Module_27465,10,2,16,18
Module_18,6,12,16,20
Module_19,128,132,123,123
Module_20,77,72,63,39
Module_3786,6,8,7,2
Module_37084,74,51,88,82
Module_19453,6,6,8,14
Module_21,114,98,81,84
Module_3787,58,44,23,29
Module_17353,6,1,14,17
Module_3788,59,49,27,28
Module_17354,8,4,10,14
Module_27466,25,26,10,26
Module_17355,14,7,11,8
Module_17356,38,29,39,47
Module_29179,32,19,32,52
Module_17357,51,41,44,36
Module_29180,36,20,34,54
Module_17358,53,45,46,39
Module_29181,39,20,36,58
Module_17359,53,45,46,39
Module_33322,52,65,39,40
Module_19454,4,6,15,22
Module_17360,14,8,9,13
Module_29182,15,6,24,12
Module_27467,31,24,43,21
Module_3789,0,4,12,9
Module_17361,20,8,18,15
Module_33323,42,47,34,28
Module_22,130,115,121,146
Module_27468,47,26,37,28
Module_17362,20,32,19,25
Module_27469,35,31,43,39
Module_33324,31,15,31,35
Module_33325,20,5,9,2
Module_27470,49,22,47,45
Module_33326,15,11,4,8
Module_27471,122,92,90,74
Module_23,117,104,78,129
Module_29183,33,18,22,18
Module_24,96,73,68,97
Module_27472,43,39,29,23
Module_29184,36,24,28,24
Module_27473,45,37,33,25
Module_29185,35,26,32,20
Module_27474,56,43,54,24
Module_29186,3,11,11,6
Module_27475,8,13,24,30
Module_29187,10,24,26,20
Module_27476,8,7,10,7
Module_27477,15,6,10,18
Module_25,85,94,99,117
Module_17363,40,44,44,46
Module_33327,6,12,15,7
Module_3790,18,8,29,18
Module_29188,7,0,17,19
Module_33328,22,13,16,20
Module_3791,1,1,2,4
Module_27478,0,5,12,11
Module_29189,16,28,12,20
Module_12921,10,4,29,32
Module_27479,20,17,26,14
Module_33329,10,9,20,21
Module_33330,4,0,23,9
Module_17364,35,17,36,38
Module_33331,12,8,16,17
Module_17365,41,41,55,47
Module_12922,39,21,33,15
Module_29190,2,1,5,13
Module_12923,40,45,32,38
Module_33332,97,99,119,119
Module_27480,16,8,24,19
Module_12924,18,12,25,11
Module_27481,9,6,25,26
Module_27482,69,40,27,27
Module_33333,8,6,26,15
Module_17366,56,44,68,89
Module_17367,55,52,23,23
Module_26,38,32,30,29
Module_17368,22,18,16,10
Module_27,5,10,13,12
Module_17369,68,49,89,43
Module_33334,200,164,122,148
Module_7615,0,7,9,6
Module_33335,144,108,87,110
Module_28,8,4,14,9
Module_17370,171,100,110,124
Module_29,20,20,14,25
Module_30,24,24,24,10
Module_3792,3,1,5,14
Module_17371,135,118,108,114
Module_3793,2,8,2,6
Module_14425,49,34,37,36
Module_3794,8,2,2,5
Module_14426,106,68,58,69
Module_33336,203,126,163,183
Module_27483,19,10,14,16
Module_22272,22,14,10,29
Module_14427,77,45,81,80
Module_33337,16,12,44,33
Module_31,38,34,43,34
Module_33338,16,18,45,36
Module_32,92,69,93,77
Module_29191,9,4,11,19
Module_29192,9,13,11,15
Module_33,30,26,30,32
Module_27484,8,10,14,13
Module_33339,34,17,36,37
Module_29193,6,8,6,6
Module_33340,24,18,34,23
Module_29194,9,16,24,14
Module_33341,30,25,35,32
Module_34,27,32,32,28
Module_29195,9,16,23,16
Module_35,27,33,33,28
Module_29196,9,15,26,14
Module_33342,26,27,32,36
Module_36,27,34,35,32
Module_33343,24,27,32,36
Module_29197,10,11,25,14
Module_33344,20,25,28,34
Module_29198,7,6,26,11
Module_29199,6,7,11,20
Module_29200,17,30,50,50
Module_33345,72,51,44,44
Module_29201,6,10,21,14
Module_14428,38,27,24,33
Module_29202,40,30,46,42
Module_37,75,42,82,90
Module_17372,24,33,28,29
Module_33346,2,4,12,17
Module_7616,4,4,32,26
Module_17373,60,32,68,60
Module_33347,0,7,10,14
Module_33348,0,2,6,7
Module_29203,4,0,26,13
Module_33349,4,4,14,12
Module_29204,16,10,29,12
Module_33350,4,2,6,2
Module_27485,24,33,23,26
Module_33351,17,3,32,34
Module_29205,36,35,30,28
Module_14429,30,28,43,39
Module_17374,55,36,53,49
Module_29206,16,15,16,2
Module_38,50,37,34,54
Module_29207,40,16,28,30
Module_17375,18,8,20,12
Module_12925,43,38,46,81
Module_3795,34,15,16,24
Module_22273,8,10,12,13
Module_27486,70,68,94,89
Module_14430,40,17,21,29
Module_33352,30,18,27,24
Module_7617,22,18,12,14
Module_22274,75,79,43,83
Module_14431,43,59,42,24
Module_17376,10,12,33,38
Module_39,21,9,20,17
Module_17377,21,24,14,14
Module_40,18,6,18,17
Module_41,38,28,53,43
Module_42,6,2,8,10
Module_33353,7,15,12,15
Module_43,14,3,7,9
Module_17378,32,14,27,29
Module_17379,7,10,8,6
Module_44,9,7,13,17
Module_27487,2,4,20,7
Module_22275,17,6,13,24
Module_45,8,6,22,4
Module_12926,2,0,0,4
Module_22276,12,6,10,22
Module_46,5,4,16,11
Module_17380,38,25,42,50
Module_12927,11,16,44,55
Module_12928,18,23,12,26
Module_47,4,12,12,8
Module_12929,28,15,29,30
Module_12930,36,30,25,6
Module_12931,21,10,20,26
Module_33354,27,32,48,40
Module_12932,10,6,10,15
Module_33355,27,32,46,40
