Module,3hrs.H3K27ac_REPLICANT.1,3hrs.H3K27ac_REPLICANT.2,24hrs.H3K27ac_REPLICANT.1,24hrs.H3K27ac_REPLICANT.2
Module_22276,14,16,7,6
Module_46,13,21,23,28
Module_17380,17,16,14,30
Module_12927,10,21,32,56
Module_12928,16,10,22,35
Module_47,9,7,10,9
Module_12929,27,51,33,61
Module_12930,29,51,25,44
Module_12931,20,27,17,27
Module_33354,25,31,22,22
Module_12932,15,20,11,18
Module_33355,19,29,21,19
Module_12933,12,10,5,10
Module_17381,19,33,24,43
Module_33356,15,27,21,35
Module_48,11,12,17,22
Module_49,8,26,20,27
Module_12934,14,27,17,30
Module_50,19,18,32,33
Module_51,13,13,8,16
Module_33357,12,15,15,16
Module_27488,10,6,7,13
Module_52,11,7,13,21
Module_53,8,11,5,10
Module_17382,51,70,29,59
Module_27489,14,10,12,12
Module_54,18,9,15,24
Module_55,30,68,31,62
Module_17383,34,41,28,57
Module_56,35,65,36,63
Module_17384,33,36,23,54
Module_57,32,64,37,62
Module_17385,29,37,22,52
Module_58,32,64,38,62
Module_17386,30,34,22,50
Module_27490,70,106,52,109
Module_17387,20,26,14,33
Module_59,39,72,26,54
Module_17388,80,141,45,100
Module_17389,69,125,53,81
Module_60,23,45,22,29
Module_17390,69,125,53,81
Module_61,23,44,22,29
Module_17391,72,128,52,79
Module_62,22,42,19,27
Module_17392,88,147,51,89
Module_63,13,23,10,19
Module_64,8,16,13,17
Module_17393,45,52,42,62
Module_17394,37,92,41,74
Module_17395,47,64,31,67
Module_17396,56,78,45,103
Module_65,14,15,7,15
Module_66,15,10,11,18
Module_17397,3,9,10,20
Module_22277,11,6,11,10
Module_22278,21,21,19,43
Module_3796,35,61,41,68
Module_67,16,38,23,58
Module_5545,34,75,52,71
Module_17398,11,12,15,26
Module_68,62,97,75,150
Module_69,31,40,29,63
Module_70,16,20,24,46
Module_17399,17,20,18,34
Module_71,24,28,26,34
Module_27491,26,57,18,45
Module_72,21,35,20,25
Module_14432,13,7,9,8
Module_29208,36,41,23,44
Module_22279,7,9,7,9
Module_5546,16,18,17,32
Module_12935,6,21,17,23
Module_12936,5,12,20,24
Module_27492,6,10,10,6
Module_73,12,27,11,14
Module_27493,7,9,9,5
Module_74,31,45,21,31
Module_27494,13,10,16,9
Module_12937,23,28,26,39
Module_12938,25,38,27,52
Module_75,62,89,57,83
Module_17400,24,45,32,41
Module_5547,47,63,37,62
Module_17401,8,26,9,19
Module_5548,30,51,31,57
Module_17402,10,15,10,28
Module_17403,10,8,10,9
Module_76,26,48,40,60
Module_27495,7,1,12,7
Module_77,47,94,62,105
Module_14433,3,5,7,3
Module_78,39,65,51,73
Module_14434,18,17,10,21
Module_79,50,66,39,68
Module_80,96,108,63,83
Module_5549,16,14,20,21
Module_14435,14,14,13,14
Module_14436,26,24,18,27
Module_12939,19,23,11,15
Module_81,10,17,16,25
Module_14437,4,15,6,13
Module_82,10,8,12,21
Module_17404,9,4,6,7
Module_12940,27,19,23,31
Module_22280,5,12,3,10
Module_17405,18,19,14,39
Module_12941,81,114,40,66
Module_12942,24,35,21,40
Module_29209,16,35,23,44
Module_14438,69,145,71,129
Module_14439,45,74,42,73
Module_14440,22,49,25,49
Module_12943,12,27,15,27
Module_14441,20,32,20,53
Module_17406,26,22,38,26
Module_14442,43,54,34,60
Module_17407,9,9,14,19
Module_5550,30,67,26,64
Module_22281,5,14,6,31
Module_22282,22,41,28,53
Module_17408,106,177,63,110
Module_5551,62,92,42,65
Module_17409,109,185,73,109
Module_14443,33,51,12,48
Module_5552,11,10,9,20
Module_12944,90,201,57,114
Module_5553,17,11,8,11
Module_83,9,15,19,25
Module_17410,19,33,23,52
Module_17411,13,34,23,44
Module_22283,27,65,21,35
Module_22284,13,20,17,15
Module_17412,19,32,28,46
Module_17413,17,17,13,12
Module_22285,11,4,8,14
Module_5554,7,12,8,16
Module_12945,10,25,21,41
Module_5555,18,23,19,17
Module_12946,13,27,21,35
Module_14444,38,65,26,54
Module_17414,13,16,9,17
Module_33358,21,17,18,22
Module_17415,13,16,5,19
Module_17416,9,11,14,20
Module_17417,18,33,28,43
Module_33359,10,9,14,26
Module_17418,18,25,27,43
Module_33360,12,11,13,21
Module_14445,28,28,27,40
Module_22286,6,4,4,12
Module_14446,14,23,17,22
Module_84,28,57,23,55
Module_14447,15,26,17,23
Module_85,32,68,25,61
Module_5556,8,7,17,19
Module_86,33,70,25,62
Module_5557,7,11,16,16
Module_12947,22,21,17,23
Module_14448,72,89,53,70
Module_12948,30,41,31,47
Module_5558,28,22,29,26
Module_14449,24,25,22,25
Module_22287,21,42,20,18
Module_17419,12,15,12,18
